Iteration,Inlet Monitor Point Temperature (°C),Outlet Monitor Point Temperature (°C),TPU Monitor Point Temperature (°C),VRM 1 Monitor Point Temperature (°C),VRM 2 Monitor Point Temperature (°C),VRM 3 Monitor Point Temperature (°C),VRM 4 Monitor Point Temperature (°C),HBM 1 Monitor Point Temperature (°C),HBM 2 Monitor Point Temperature (°C),HBM 3 Monitor Point Temperature (°C),HBM 4 Monitor Point Temperature (°C),HBM 5 Monitor Point Temperature (°C),HBM 6 Monitor Point Temperature (°C),HBM 7 Monitor Point Temperature (°C),HBM 8 Monitor Point Temperature (°C),Inlet Monitor Point Pressure (N/m2),Outlet Monitor Point Pressure (N/m2)
79,35.0,47.589474222981316,162.94212800370047,286.18465528173107,281.07320130889343,281.0541594794027,278.39194876921107,140.1688353297889,139.7049846090699,145.34885852237977,145.27938538068602,142.0511622679817,141.1994603111528,149.2552840990212,149.53263946654107,34326.30276532582,12205.951636891117
80,35.0,47.620663848259795,163.28553414041141,286.82784759966586,281.7015275778376,281.6800069395678,279.0088879394547,140.45976465374716,139.9952721188612,145.65336119541644,145.58420555896427,142.34861632465484,141.4953291095125,149.5712351039121,149.8497516334584,34349.5547595643,12199.721001552489
81,35.0,47.65069764928843,163.6173200914074,287.44937198986156,282.30868417491484,282.28476780851713,279.60503909194796,140.74083262381734,140.27571978604007,145.94754758529044,145.87869881245942,142.6359903421395,141.78117100077446,149.8764861192113,150.1561248928578,34371.91697006439,12193.588732946491
82,35.0,47.67960492765919,163.93786588560224,288.0499452449858,282.89537119306874,282.8691393946331,280.1810895279771,141.01236031926987,140.54664796889725,146.23175401884632,146.16320182468436,142.91361272924172,142.05731261295034,150.1713863322067,150.4521097364144,34393.409781708055,12187.542096746702
83,35.0,47.70741785139947,164.24754266324135,288.63026398194245,283.46226910919336,283.43379948357705,280.7377073615086,141.27466190648445,140.80837013699735,146.5063093989945,146.43804384326376,143.18180473621734,142.32407347518736,150.45627707521686,150.73804875711576,34414.05674466845,12181.572633953216
84,35.0,47.73417130010965,164.54671291502783,289.1910052592995,284.01003938280104,283.9794069338288,281.27554210348774,141.52804481185504,141.06119304327396,146.77153539474492,146.7035468703681,143.4408806359109,142.5817661969067,150.73149203007128,151.01427685520738,34433.88440953077,12175.675958809205
85,35.0,47.759902613480946,164.8357306114234,289.73282707221324,284.53932493281616,284.5066021504575,281.7952251247441,141.77280978708959,141.30541678854658,147.02774652306078,146.96002574495486,143.69114779701258,142.83069653912722,150.99735732392674,151.281121335425,34452.92206612936,12169.851461680604
86,35.0,47.78465125653969,165.11494123591353,290.25636873906234,285.0507505066859,285.01600745131026,282.29737001168024,142.00925088061868,141.54133479217285,147.2752501362667,147.20778813055088,143.93290666315826,143.07116339169662,151.25419153017,151.53890190926637,34471.20139943558,12164.101930191748
87,35.0,47.80845841649745,165.38468173754367,290.7622511955088,285.5449229575053,285.50822734131344,282.78257283042444,142.2376553303489,141.76923368407049,147.51434633026508,147.4471344238304,144.16645065311562,143.3034586716718,151.50230558967644,151.78793061757233,34488.75607736518,12158.433103445308
88,35.0,47.831366547124226,165.64528041905712,291.25107721271434,286.02243144586566,285.98384871159175,283.2514123161407,142.45830339402113,141.98939313436924,147.74532778983945,147.67835760026796,144.39206599832679,143.5278671591159,151.7420026687185,152.02851168971412,34505.62128641175,12152.853175193977
89,35.0,47.85341887710077,165.89705677749046,291.72343155695125,286.4838475836455,286.4434409806214,283.704450004703,142.67146813396315,142.20208563748022,147.968479587851,147.90174301367296,144.61003153460396,143.7446662871073,151.97357797034488,152.26094135620795,34521.83323155232,12147.372262372372
90,35.0,47.87465889886108,166.14032131412333,292.1798811078755,286.92972553699445,286.8875561946645,284.1422303239672,142.87741517306839,142.40757626741478,148.18407895517709,148.1175681664545,144.8206184648189,143.95412590279818,152.19731851609356,152.4855076316223,34537.42861692615,12142.001855453555
91,35.0,47.895129854029754,166.37537533026105,292.62097495229807,287.3606021053278,287.31672910429984,284.5652806614472,143.07640243841607,142.60612242076655,148.39239503782363,148.32610246704957,145.02409010900848,144.15650801594484,152.41350291448356,152.70249008422402,34552.44412338205,12136.754266690532
92,35.0,47.91487423073123,166.60251072448725,293.0472444694398,287.77699679229937,287.7314772330141,284.9741114243478,143.26867990811004,142.79797356293372,148.59368865680347,148.52760699010625,145.22070165748198,144.3520665504917,152.62240113189196,152.91215960797064,34566.91589816196,12131.642091476111
